Namespace(action=0, all_clients=False, bs=128, dataset='mnist', epochs=10, frac=0.1, gpu=0, iid=False, kernel_num=9, kernel_sizes='3,4,5', local_bs=10, local_ep=5, lr=0.01, max_pool='True', model='CNN', momentum=0.5, norm='batch_norm', num_channels=3, num_classes=10, num_filters=32, num_users=100, seed=1, split='user', stopping_rounds=10, verbose=False)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'mode': 'raw', 'defence': 'raw', 'client_epochs': 5, 'server_epochs': 100, 'batch_size': 128, 'client_lr': 0.1, 'server_lr': 0.1, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 25, 'byzantine_workers': 5, 'attack_strength': 1.0, 'k': 1, 'test_frequency': 1}
======================Start Train Model [Sat May  4 09:41:50 2024]======================
Epoch: 1 | Epoch Time: 1m 8s
Train Loss: 2.300622074279785 | Train Acc: 10.000000149011612%
Test Loss: 2.300572060012817 | Test Acc: 10.000000149011612%
Epoch: 2 | Epoch Time: 1m 8s
Train Loss: 2.2985628631591797 | Train Acc: 10.000000149011612%
Test Loss: 2.2984995662689207 | Test Acc: 10.000000149011612%
Epoch: 3 | Epoch Time: 1m 8s
Train Loss: 2.2955273782348633 | Train Acc: 10.007999837398529%
Test Loss: 2.295425163269043 | Test Acc: 10.000000149011612%
Epoch: 4 | Epoch Time: 1m 6s
Train Loss: 2.29086498046875 | Train Acc: 12.578000128269196%
Test Loss: 2.290690462875366 | Test Acc: 12.700000405311584%
Epoch: 5 | Epoch Time: 1m 4s
Train Loss: 2.283626459655762 | Train Acc: 15.65999984741211%
Test Loss: 2.283332429122925 | Test Acc: 15.760000050067902%
Epoch: 6 | Epoch Time: 1m 6s
Train Loss: 2.272877887878418 | Train Acc: 17.40799993276596%
Test Loss: 2.2724368156433106 | Test Acc: 17.489999532699585%
Epoch: 7 | Epoch Time: 1m 5s
Train Loss: 2.2586434439086913 | Train Acc: 20.29999941587448%
Test Loss: 2.2580458431243895 | Test Acc: 20.12999951839447%
Epoch: 8 | Epoch Time: 1m 8s
Train Loss: 2.241498404541016 | Train Acc: 22.72000014781952%
Test Loss: 2.2407057552337646 | Test Acc: 22.529999911785126%
Epoch: 9 | Epoch Time: 1m 5s
Train Loss: 2.2217986993408205 | Train Acc: 24.621999263763428%
Test Loss: 2.2208031566619875 | Test Acc: 24.42999929189682%
Epoch: 10 | Epoch Time: 1m 3s
Train Loss: 2.1998345291137693 | Train Acc: 26.019999384880066%
Test Loss: 2.19864229888916 | Test Acc: 25.960001349449158%
Epoch: 11 | Epoch Time: 1m 14s
Train Loss: 2.176781594543457 | Train Acc: 26.86600089073181%
Test Loss: 2.175381388473511 | Test Acc: 26.94000005722046%
Epoch: 12 | Epoch Time: 1m 15s
Train Loss: 2.1529606549072264 | Train Acc: 27.63800024986267%
Test Loss: 2.1513979312896727 | Test Acc: 27.950000762939453%
Epoch: 13 | Epoch Time: 1m 15s
Train Loss: 2.128658696899414 | Train Acc: 28.251999616622925%
Test Loss: 2.1269071800231933 | Test Acc: 28.589999675750732%
Epoch: 14 | Epoch Time: 1m 15s
Train Loss: 2.104295833129883 | Train Acc: 28.714001178741455%
Test Loss: 2.102352479934692 | Test Acc: 28.960001468658447%
Epoch: 15 | Epoch Time: 1m 14s
Train Loss: 2.080461007385254 | Train Acc: 29.183998703956604%
Test Loss: 2.078321845626831 | Test Acc: 29.39000129699707%
Epoch: 16 | Epoch Time: 1m 15s
Train Loss: 2.056933319091797 | Train Acc: 29.589998722076416%
Test Loss: 2.054593533706665 | Test Acc: 29.71000075340271%
Epoch: 17 | Epoch Time: 1m 6s
Train Loss: 2.034524096069336 | Train Acc: 29.958000779151917%
Test Loss: 2.03197944316864 | Test Acc: 30.140000581741333%
Epoch: 18 | Epoch Time: 1m 3s
Train Loss: 2.0128790667724608 | Train Acc: 30.324000120162964%
Test Loss: 2.01011118888855 | Test Acc: 30.52000105381012%
Epoch: 19 | Epoch Time: 1m 1s
Train Loss: 1.9918656958007812 | Train Acc: 30.77000081539154%
Test Loss: 1.988928995513916 | Test Acc: 30.86000084877014%
Epoch: 20 | Epoch Time: 1m 4s
Train Loss: 1.9726267419433594 | Train Acc: 31.09399974346161%
Test Loss: 1.9694350290298461 | Test Acc: 31.229999661445618%
Epoch: 21 | Epoch Time: 1m 3s
Train Loss: 1.9534454794311524 | Train Acc: 31.53800070285797%
Test Loss: 1.9500813203811644 | Test Acc: 31.690001487731934%
Epoch: 22 | Epoch Time: 1m 1s
Train Loss: 1.935548466796875 | Train Acc: 31.940001249313354%
Test Loss: 1.9319180143356323 | Test Acc: 32.0499986410141%
Epoch: 23 | Epoch Time: 1m 3s
Train Loss: 1.9176547705078124 | Train Acc: 32.354000210762024%
Test Loss: 1.913877749443054 | Test Acc: 32.51999914646149%
Epoch: 24 | Epoch Time: 1m 2s
Train Loss: 1.900045598449707 | Train Acc: 32.83199965953827%
Test Loss: 1.8961504821777344 | Test Acc: 32.96000063419342%
Epoch: 25 | Epoch Time: 1m 2s
Train Loss: 1.8833105313110352 | Train Acc: 33.2720011472702%
Test Loss: 1.87927790184021 | Test Acc: 33.30000042915344%
Epoch: 26 | Epoch Time: 1m 3s
Train Loss: 1.867517745666504 | Train Acc: 33.719998598098755%
Test Loss: 1.8633603733062745 | Test Acc: 33.93999934196472%
Epoch: 27 | Epoch Time: 1m 9s
